date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
2023-11-21 05:01:19+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.789,1.849,1.789,1,1,1
2023-11-21 08:03:11+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.789,1.839,1.779,0,1,1
2023-11-21 08:17:28+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.749,1.839,1.779,1,0,0
2023-11-21 09:02:20+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.809,1.899,1.839,1,1,1
2023-11-21 09:05:22+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.779,1.889,1.829,1,1,1
2023-11-21 10:33:01+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.759,1.879,1.819,1,1,1
2023-11-21 10:38:08+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.729,1.859,1.799,1,1,1
2023-11-21 10:52:23+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.729,1.849,1.789,0,1,1
2023-11-21 10:58:31+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.719,1.849,1.789,1,0,0
2023-11-21 11:12:47+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.719,1.839,1.779,0,1,1
2023-11-21 11:22:58+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.709,1.839,1.779,1,0,0
2023-11-21 11:27:03+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.839,1.779,1,0,0
2023-11-21 12:01:48+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.769,1.909,1.849,1,1,1
2023-11-21 12:04:52+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.759,1.869,1.809,1,1,1
2023-11-21 13:17:23+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.759,1.859,1.799,0,1,1
2023-11-21 13:18:23+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.839,1.779,1,1,1
2023-11-21 14:03:45+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.799,1.739,0,1,1
2023-11-21 14:05:47+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.839,1.779,0,1,1
2023-11-21 14:45:43+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.759,1.899,1.839,1,1,1
2023-11-21 14:48:46+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.749,1.859,1.799,1,1,1
2023-11-21 14:53:52+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.749,1.849,1.789,0,1,1
2023-11-21 16:02:37+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.709,1.799,1.739,1,1,1
2023-11-21 16:21:59+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.799,1.739,1,0,0
2023-11-21 17:03:31+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.739,1.819,1.759,1,1,1
2023-11-21 18:03:52+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.739,1.799,1.739,0,1,1
2023-11-21 18:22:45+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.709,1.799,1.739,1,0,0
2023-11-21 19:02:23+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.749,1.839,1.779,1,1,1
2023-11-21 19:03:25+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.739,1.819,1.759,1,1,1
2023-11-21 20:23:51+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.709,1.809,1.749,1,1,1
2023-11-21 20:39:37+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.699,1.799,1.739,1,1,1
2023-11-21 22:01:40+01,126eb6c4-9069-43f1-bf88-dd2d12d788f6,1.779,1.839,1.779,1,1,1
